,file_list,best_models,post_probs
1,Irmis_etal_2007,5,0.65944685104965
2,Jalil_1997,1,0.798400533155615
3,Janvier_1996,5,0.709096967677441
4,Jeffery_1999,5,0.553148950349883
5,Jin_etal_2006,5,1
6,Jouve_2005,5,0.647450849716761
7,Jouve_etal_2005,5,0.821726091302899
8,Joyce_2007,4,0.839720093302233
9,Kammer_et_Gahn_2003,5,0.640453182272576
10,Karasawa_et_Schweitzer_2006,4,0.677440853048984
11,Khonsari_etal_2009,1,0.897034321892702
12,Kirkland_1998,5,0.74275241586138
13,Knoll_2008,1,0.616794401866045
14,Kobayashi_et_Azuma_2003,1,0.845718093968677
15,Krupina_et_Reisz_2000,5,0.983005664778407
