"","file_list","best_models","post_probs"
"1","Naish_etal_2013aa.nex.clean.log","5","0.751416194601799"
"2","Nesbitt_etal_2009a.nex.clean.log","4","0.943352215928024"
"3","Nesbitt_etal_2009c.nex.clean.log","4","0.944018660446518"
"4","Nesbitt_etal_2009d.nex.clean.log","5","0.654781739420193"
"5","Norell_1989a.nex.clean.log","5","0.771076307897368"
"6","Norell_etal_2000a.nex.clean.log","1","0.91569476841053"
"7","Norman_2002a.nex.clean.log","1","0.968010663112296"
"8","Norman_etal_2004a.nex.clean.log","1","0.886371209596801"
"9","Novas_1992a.nex.clean.log","1","0.960679773408864"
"10","Novas_1993a.nex.clean.log","1","0.975341552815728"
"11","Novas_1996a.nex.clean.log","1","0.919360213262246"
"12","Osmolska_etal_2004a.nex.clean.log","6","0.527157614128624"
